# z rho(z) P(z) g(z) n(z) K(z) phi(z)
3.555072000000000000e+21 1.451353630064212914e-26 2.036344187884236561e-11 4.661171704427208641e-10 1.474918304991274139e-02 1.662728558879587352e+08 5.601202399397700195e+11
3.629136000000000000e+21 1.451317197323205679e-26 2.036293070362730003e-11 4.850357205662818219e-10 1.474881280715798285e-02 1.662756385328377485e+08 5.953412674335388184e+11
3.703200000000000000e+21 1.451279303383231347e-26 2.036239902683382952e-11 5.042874518054748566e-10 1.474842771516828022e-02 1.662785329040918946e+08 6.319758367681660156e+11
3.777264000000000000e+21 1.451239922954047830e-26 2.036184649362328820e-11 5.238691053297629084e-10 1.474802751693500211e-02 1.662815409481200278e+08 6.700485042550771484e+11
3.851328000000000000e+21 1.451199031012952799e-26 2.036127275291079133e-11 5.437773780207996442e-10 1.474761195816835617e-02 1.662846645918103755e+08 7.095835832092419434e+11
3.925392000000000000e+21 1.451156602789945366e-26 2.036067745715699262e-11 5.640089236158891944e-10 1.474718078714658959e-02 1.662879057437024117e+08 7.506051407046702881e+11
3.999456000000000000e+21 1.451112613786703311e-26 2.036006026263439760e-11 5.845603538604566788e-10 1.474673375490884869e-02 1.662912662925662696e+08 7.931369943916008301e+11
4.073520000000000000e+21 1.451067039777743657e-26 2.035942082944360675e-11 6.054282396688802878e-10 1.474627061526697161e-02 1.662947481073423326e+08 8.372027094868486328e+11
4.147584000000000000e+21 1.451019856810423815e-26 2.035875882151336718e-11 6.266091122930234841e-10 1.474579112480550215e-02 1.662983530371697247e+08 8.828255957305886230e+11
4.221648000000000000e+21 1.450971041204942159e-26 2.035807390660054681e-11 6.480994644978265710e-10 1.474529504288168286e-02 1.663020829114148915e+08 9.300287045332342529e+11
4.295712000000000000e+21 1.450920569554335732e-26 2.035736575629013108e-11 6.698957517432949515e-10 1.474478213162545848e-02 1.663059395396998525e+08 9.788348261641915283e+11
4.369776000000000000e+21 1.450868418734849043e-26 2.035663404614068725e-11 6.919943933722437374e-10 1.474425215604481358e-02 1.663099247111385763e+08 1.029266486998875122e+12
4.443840000000000000e+21 1.450814565912739945e-26 2.035587845577985527e-11 7.143917738031440982e-10 1.474370488409496721e-02 1.663140401938445866e+08 1.081345946957328125e+12
4.517904000000000000e+21 1.450758988533844819e-26 2.035509866875795617e-11 7.370842437274327662e-10 1.474314008657231015e-02 1.663182877357562482e+08 1.135095196864315674e+12
4.591968000000000000e+21 1.450701664339930177e-26 2.035429437277740225e-11 7.600681213106383601e-10 1.474255753728058796e-02 1.663226690634147525e+08 1.190535956109687256e+12
4.666032000000000000e+21 1.450642571368920812e-26 2.035346525969587974e-11 7.833396933966893553e-10 1.474195701303320470e-02 1.663271858819740117e+08 1.247689670164513184e+12
4.740096000000000000e+21 1.450581687954898654e-26 2.035261102552638115e-11 8.068952167147700804e-10 1.474133829365322987e-02 1.663318398752276301e+08 1.306577508424603760e+12
4.814159999999999476e+21 1.450518992728103913e-26 2.035173137043717616e-11 8.307309190880924645e-10 1.474070116197339839e-02 1.663366327056354284e+08 1.367220361909095947e+12
4.888224000000000000e+21 1.450454464614934797e-26 2.035082599875184074e-11 8.548430006439648031e-10 1.474004540383611062e-02 1.663415660143502355e+08 1.429638841278683838e+12
4.962288000000000524e+21 1.450388082840244544e-26 2.034989461898145899e-11 8.792276350245333327e-10 1.473937080811677652e-02 1.663466414210683107e+08 1.493853274712580811e+12
5.036352000000000000e+21 1.450319826944609079e-26 2.034893694406689982e-11 9.038809705975878078e-10 1.473867716689928643e-02 1.663518605227348506e+08 1.559883706115558594e+12
5.110415999999999476e+21 1.450249676766780122e-26 2.034795269113266290e-11 9.287991316668237245e-10 1.473796427529771615e-02 1.663572248949107230e+08 1.627749893155030762e+12
5.184480000000000000e+21 1.450177612456188012e-26 2.034694158166224739e-11 9.539782196809622065e-10 1.473723193158335727e-02 1.663627360908416510e+08 1.697471305674463867e+12
5.258544000000000524e+21 1.450103614476556590e-26 2.034590334154890398e-11 9.794143144411322960e-10 1.473647993722147428e-02 1.663683956412059069e+08 1.769067123880190918e+12
5.332608000000000000e+21 1.450027663605904627e-26 2.034483770109565107e-11 1.005103475305934243e-09 1.473570809687130452e-02 1.663742050541383922e+08 1.842556236954603760e+12
5.406671999999999476e+21 1.449949740936544389e-26 2.034374439501525213e-11 1.031041742393610558e-09 1.473491621838605992e-02 1.663801658152538240e+08 1.917957241423879395e+12
5.480736000000000000e+21 1.449869827875083366e-26 2.034262316243022867e-11 1.057225137780743631e-09 1.473410411281292354e-02 1.663862793876699209e+08 1.995288439907452881e+12
5.554800000000000524e+21 1.449787906142423115e-26 2.034147374687285693e-11 1.083649666696935314e-09 1.473327159439305305e-02 1.663925472120299935e+08 2.074567839753784180e+12
5.628864000000000000e+21 1.449703957774503134e-26 2.034029589629561110e-11 1.110311318714904558e-09 1.473241848056914237e-02 1.663989707064679563e+08 2.155813151836967529e+12
5.702927999999999476e+21 1.449617965135394018e-26 2.033908936325484589e-11 1.137206068935475744e-09 1.473154459211846283e-02 1.664055512656279802e+08 2.239041789515597656e+12
5.776992000000000000e+21 1.449529910907328142e-26 2.033785390477094154e-11 1.164329879166910561e-09 1.473064975305156572e-02 1.664122902614479661e+08 2.324270867464719727e+12
5.851056000000000524e+21 1.449439778094300762e-26 2.033658928237882656e-11 1.191678699098069105e-09 1.472973379064887803e-02 1.664191890429041982e+08 2.411517200896679688e+12
5.925120000000000000e+21 1.449347550025673983e-26 2.033529526217852612e-11 1.219248467464891509e-09 1.472879653549731375e-02 1.664262489357552826e+08 2.500797304594687988e+12
5.999183999999999476e+21 1.449253210356175036e-26 2.033397161483516537e-11 1.247035113209695696e-09 1.472783782149027568e-02 1.664334712425608039e+08 2.592127392156560547e+12
6.073248000000000000e+21 1.449156743065897142e-26 2.033261811557895968e-11 1.275034556632794160e-09 1.472685748582764839e-02 1.664408572426998913e+08 2.685523375396604492e+12
6.147312000000000524e+21 1.449058132460299797e-26 2.033123454420522438e-11 1.303242710535962181e-09 1.472585536901580353e-02 1.664484081923886240e+08 2.781000863620321289e+12
6.221376000000000000e+21 1.448957363170207335e-26 2.032982068507436828e-11 1.331655481357278747e-09 1.472483131486759626e-02 1.664561253246973157e+08 2.878575163201869629e+12
6.295439999999999476e+21 1.448854420151876950e-26 2.032837632711282099e-11 1.360268770296893732e-09 1.472378517050304363e-02 1.664640098495614529e+08 2.978261277155498047e+12
6.369504000000000000e+21 1.448749288691501496e-26 2.032690126387623797e-11 1.389078474433261189e-09 1.472271678639508995e-02 1.664720629534525871e+08 3.080073904718524902e+12
6.443568000000000524e+21 1.448641954404839860e-26 2.032539529354428862e-11 1.418080487829419590e-09 1.472162601636584772e-02 1.664802857994213402e+08 3.184027441149675781e+12
6.517632000000000000e+21 1.448532403235122241e-26 2.032385821889129458e-11 1.447270702628889302e-09 1.472051271756531603e-02 1.664886795272720158e+08 3.290135977534453613e+12
6.591695999999999476e+21 1.448420621454192936e-26 2.032228984730224025e-11 1.476645010140778453e-09 1.471937675048298928e-02 1.664972452534883320e+08 3.398413300664635742e+12
6.665760000000000000e+21 1.448306595662512058e-26 2.032068999077279857e-11 1.506199301913705729e-09 1.471821797894786767e-02 1.665059840712461770e+08 3.508872893045321289e+12
6.739824000000000524e+21 1.448190312789152666e-26 2.031905846590931171e-11 1.535929470798140582e-09 1.471703627012844497e-02 1.665148970504255295e+08 3.621527932926644043e+12
6.813888000000000000e+21 1.448071760091803351e-26 2.031739509392880716e-11 1.565831411996811346e-09 1.471583149453272073e-02 1.665239852376213372e+08 3.736391294410928711e+12
6.887951999999999476e+21 1.447950925156766222e-26 2.031569970065897193e-11 1.595901024102796022e-09 1.471460352600818811e-02 1.665332496561541557e+08 3.853475547754611328e+12
6.962016000000000000e+21 1.447827795898958922e-26 2.031397211653818804e-11 1.626134210124968158e-09 1.471335224174184428e-02 1.665426913060794473e+08 3.972792959619545410e+12
7.036080000000000524e+21 1.447702360561912610e-26 2.031221217661549705e-11 1.656526878500450615e-09 1.471207752226018350e-02 1.665523111641964018e+08 4.094355493362498535e+12
7.110144000000000000e+21 1.447574607716507511e-26 2.031041972053286083e-11 1.687074944093764135e-09 1.471077925141633415e-02 1.665621101841529906e+08 4.218174809498621582e+12
7.184207999999999476e+21 1.447444526259418304e-26 2.030859459250335766e-11 1.717774329182357823e-09 1.470945731637427097e-02 1.665720892965722680e+08 4.344262266419966309e+12
7.258272000000000000e+21 1.447312105417876086e-26 2.030673664137798351e-11 1.748620964428224185e-09 1.470811160765719827e-02 1.665822494086934328e+08 4.472628920674874023e+12
7.332336000000000524e+21 1.447177334743245050e-26 2.030484572055553778e-11 1.779610789835314154e-09 1.470674201908228791e-02 1.665925914048699141e+08 4.603285527716286133e+12
7.406400000000000000e+21 1.447040204110520835e-26 2.030292168797557620e-11 1.810739755692494453e-09 1.470534844775555836e-02 1.666031161466128528e+08 4.736242542801349609e+12
7.480463999999999476e+21 1.446900703718327655e-26 2.030096440611837517e-11 1.842003823501769971e-09 1.470393079407187123e-02 1.666138244725951552e+08 4.871510121647182617e+12
7.554528000000000000e+21 1.446758824088919734e-26 2.029897374200496095e-11 1.873398966891543690e-09 1.470248896171492958e-02 1.666247171986544430e+08 5.009098121181368164e+12
7.628592000000000524e+21 1.446614556068181307e-26 2.029694956719709665e-11 1.904921172514672194e-09 1.470102285765728135e-02 1.666357951177952290e+08 5.149016100681600586e+12
7.702656000000000000e+21 1.446467890825626905e-26 2.029489175779728231e-11 1.936566440931104199e-09 1.469953239216032458e-02 1.666470590001903176e+08 5.291273322781450195e+12
7.776719999999999476e+21 1.446318819852895544e-26 2.029280019442764231e-11 1.968330787474893836e-09 1.469801747875900191e-02 1.666585095932967365e+08 5.435878754269958984e+12
7.850784000000000000e+21 1.446167334955168979e-26 2.029067476210950929e-11 2.000210243105390182e-09 1.469647803417459264e-02 1.666701476225146949e+08 5.582841067438338867e+12
7.924848000000000524e+21 1.446013428262020924e-26 2.028851535041564797e-11 2.032200855242434495e-09 1.469491397842496126e-02 1.666819737903531492e+08 5.732168641366324219e+12
7.998912000000000000e+21 1.445857092217875058e-26 2.028632185333637786e-11 2.064298688585381516e-09 1.469332523472760034e-02 1.666939887771607935e+08 5.883869562828077148e+12
8.072975999999999476e+21 1.445698319579965698e-26 2.028409416925095807e-11 2.096499825915807116e-09 1.469171172947889188e-02 1.667061932412800193e+08 6.037951627833692383e+12
8.147040000000000000e+21 1.445537103418337517e-26 2.028183220092756460e-11 2.128800368883736022e-09 1.469007339225410734e-02 1.667185878190436959e+08 6.194422343137152344e+12
8.221104000000000524e+21 1.445373437115844393e-26 2.027953585552330979e-11 2.161196438777283750e-09 1.468841015580740761e-02 1.667311731247707605e+08 6.353288927271743164e+12
8.295168000000000000e+21 1.445207314368150845e-26 2.027720504458424230e-11 2.193684177275571699e-09 1.468672195607184303e-02 1.667439497507607639e+08 6.514558312287362305e+12
8.369231999999999476e+21 1.445038729183730886e-26 2.027483968404532449e-11 2.226259747184827731e-09 1.468500873215934817e-02 1.667569182672877610e+08 6.678237145433846680e+12
8.443296000000000000e+21 1.444867675876524051e-26 2.027243969412740320e-11 2.258919333157553131e-09 1.468327042628610885e-02 1.667700792231583297e+08 6.844331790333046875e+12
8.517360000000000524e+21 1.444694149064015177e-26 2.027000499931026821e-11 2.291659142394700508e-09 1.468150698375305166e-02 1.667834331458515227e+08 7.012848328915502930e+12
8.591424000000000000e+21 1.444518143672818572e-26 2.026753552841099854e-11 2.324475405330767528e-09 1.467971835300258855e-02 1.667969805410808623e+08 7.183792563237800781e+12
8.665487999999999476e+21 1.444339654927493888e-26 2.026503121442704045e-11 2.357364376301760976e-09 1.467790448550495772e-02 1.668107218936457038e+08 7.357170016795876953e+12
8.739552000000000000e+21 1.444158678350455147e-26 2.026249199453491500e-11 2.390322334195964969e-09 1.467606533575730073e-02 1.668246576674282849e+08 7.532985936661861328e+12
