# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
2.221920000000000000e+21 1.426739190937517763e-26 2.001808517861860137e-11 1.859782655127827427e-10 1.449904217395372487e-02 2.245451973696188119e+01 1.385023559021492615e+11 8.335839927667599582e-06
2.295984000000000000e+21 1.426724718977969341e-26 2.001788212754887662e-11 1.983993245648202273e-10 1.449889510464129165e-02 2.245467158141494579e+01 1.527342558168714600e+11 8.335839927667599582e-06
2.370048000000000000e+21 1.426709297266479329e-26 2.001766575083744023e-11 2.112034178749527549e-10 1.449873838360446303e-02 2.245483339379608623e+01 1.679003074525437317e+11 8.335839927667599582e-06
2.444112000000000000e+21 1.426692897077246043e-26 2.001743564544249361e-11 2.243882651958472241e-10 1.449857171892120211e-02 2.245500547605806219e+01 1.840287958056157227e+11 8.335839927667599582e-06
2.518176000000000000e+21 1.426675489862078795e-26 2.001719141081422314e-11 2.379515236816756880e-10 1.449839482047441883e-02 2.245518812834763267e+01 2.011478346650227661e+11 8.335839927667599582e-06
2.592240000000000000e+21 1.426657047250397608e-26 2.001693264889480989e-11 2.518907887608748080e-10 1.449820739995197165e-02 2.245538164900882805e+01 2.192853620071917419e+11 8.335839927667599582e-06
2.666304000000000000e+21 1.426637541051369538e-26 2.001665896414840522e-11 2.662035950290606740e-10 1.449800917086836553e-02 2.245558633456393594e+01 2.384691354579477234e+11 8.335839927667599582e-06
2.740368000000000000e+21 1.426616943276179933e-26 2.001636996387361766e-11 2.808874171615382413e-10 1.449779984879110209e-02 2.245580247948320363e+01 2.587267278204203186e+11 8.335839927667599582e-06
2.814432000000000000e+21 1.426595226124032394e-26 2.001606525800706071e-11 2.959396708448343962e-10 1.449757915119837676e-02 2.245603037633523513e+01 2.800855226717733765e+11 8.335839927667599582e-06
2.888496000000000000e+21 1.426572361999541559e-26 2.001574445936740022e-11 3.113577137266757539e-10 1.449734679765585753e-02 2.245627031560798770e+01 3.025727100323259888e+11 8.335839927667599582e-06
2.962560000000000000e+21 1.426548323518134465e-26 2.001540718373116745e-11 3.271388463838243026e-10 1.449710250987156640e-02 2.245652258565568005e+01 3.262152820980307617e+11 8.335839927667599582e-06
3.036624000000000000e+21 1.426523083506052847e-26 2.001505304983271379e-11 3.432803133071707763e-10 1.449684601169588805e-02 2.245678747270237352e+01 3.510400290493828735e+11 8.335839927667599582e-06
3.110688000000000000e+21 1.426496615000350262e-26 2.001468167936425606e-11 3.597793039034860487e-10 1.449657702912156634e-02 2.245706526084565979e+01 3.770735349357023926e+11 8.335839927667599582e-06
3.184752000000000000e+21 1.426468891249303919e-26 2.001429269698160207e-11 3.766329535132159533e-10 1.449629529028787119e-02 2.245735623205606402e+01 4.043421736409418945e+11 8.335839927667599582e-06
3.258816000000000000e+21 1.426439885732078664e-26 2.001388573058006712e-11 3.938383444437039014e-10 1.449600052568043862e-02 2.245766066597437316e+01 4.328721049075731812e+11 8.335839927667599582e-06
3.332880000000000000e+21 1.426409572150497088e-26 2.001346041117899828e-11 4.113925070172156385e-10 1.449569246804762943e-02 2.245797884000180034e+01 4.626892704448740845e+11 8.335839927667599582e-06
3.406944000000000000e+21 1.426377924437870368e-26 2.001301637304568989e-11 4.292924206331393947e-10 1.449537085249028370e-02 2.245831102921106748e+01 4.938193901270273438e+11 8.335839927667599582e-06
3.481008000000000000e+21 1.426344916768693515e-26 2.001255325383137725e-11 4.475350148437241898e-10 1.449503541656022541e-02 2.245865750624848900e+01 5.262879582666366577e+11 8.335839927667599582e-06
3.555072000000000000e+21 1.426310523558641066e-26 2.001207069457123340e-11 4.661171704427208641e-10 1.449468590026025024e-02 2.245901854133777320e+01 5.601202399397700195e+11 8.335839927667599582e-06
3.629136000000000000e+21 1.426274719464570532e-26 2.001156833968436910e-11 4.850357205662818219e-10 1.449432204604412730e-02 2.245939440228391604e+01 5.953412674335388184e+11 8.335839927667599582e-06
3.703200000000000000e+21 1.426237479384520386e-26 2.001104583697382958e-11 5.042874518054748566e-10 1.449394359881660613e-02 2.245978535447701319e+01 6.319758367681660156e+11 8.335839927667599582e-06
3.777264000000000000e+21 1.426198778464631876e-26 2.001050283772369140e-11 5.238691053297629084e-10 1.449355030600373712e-02 2.246019166082353635e+01 6.700485042550771484e+11 8.335839927667599582e-06
3.851328000000000000e+21 1.426158592113969556e-26 2.000993899690703687e-11 5.437773780207996442e-10 1.449314191770349931e-02 2.246061358159456489e+01 7.095835832092419434e+11 8.335839927667599582e-06
3.925392000000000000e+21 1.426116895989939240e-26 2.000935397298131744e-11 5.640089236158891944e-10 1.449271818653760126e-02 2.246105137458278378e+01 7.506051407046702881e+11 8.335839927667599582e-06
3.999456000000000000e+21 1.426073666016936351e-26 2.000874742815003995e-11 5.845603538604566788e-10 1.449227886784100298e-02 2.246150529491055181e+01 7.931369943916008301e+11 8.335839927667599582e-06
4.073520000000000000e+21 1.426028878387489268e-26 2.000811902837879007e-11 6.054282396688802878e-10 1.449182371967352480e-02 2.246197559502174457e+01 8.372027094868487549e+11 8.335839927667599582e-06
4.147584000000000000e+21 1.425982509562258471e-26 2.000746844339521290e-11 6.266091122930234841e-10 1.449135250281984380e-02 2.246246252468564819e+01 8.828255957305886230e+11 8.335839927667599582e-06
4.221648000000000000e+21 1.425934536270036537e-26 2.000679534668903559e-11 6.480994644978265710e-10 1.449086498078949216e-02 2.246296633100075724e+01 9.300287045332342529e+11 8.335839927667599582e-06
4.295712000000000000e+21 1.425884935507748141e-26 2.000609941551204149e-11 6.698957517432949515e-10 1.449036091981685710e-02 2.246348725839865779e+01 9.788348261641915283e+11 8.335839927667599582e-06
4.369776000000000000e+21 1.425833684550638058e-26 2.000538033102103345e-11 6.919943933722437374e-10 1.448984008896471963e-02 2.246402554854081757e+01 1.029266486998875122e+12 8.335839927667599582e-06
4.443840000000000000e+21 1.425780760958959939e-26 2.000463777837168006e-11 7.143917738031440982e-10 1.448930226019222098e-02 2.246458144025211112e+01 1.081345946957328125e+12 8.335839927667599582e-06
4.517904000000000000e+21 1.425726142567723172e-26 2.000387144657464114e-11 7.370842437274327662e-10 1.448874720825066992e-02 2.246515516963228265e+01 1.135095196864315674e+12 8.335839927667599582e-06
4.591968000000000000e+21 1.425669807502759496e-26 2.000308102872101323e-11 7.600681213106383601e-10 1.448817471084682187e-02 2.246574696989091890e+01 1.190535956109687256e+12 8.335839927667599582e-06
4.666032000000000000e+21 1.425611734180949150e-26 2.000226622198549615e-11 7.833396933966893553e-10 1.448758454864516876e-02 2.246635707134872817e+01 1.247689670164513184e+12 8.335839927667599582e-06
4.740096000000000000e+21 1.425551901310220009e-26 2.000142672762636716e-11 8.068952167147700804e-10 1.448697650526793376e-02 2.246698570144120666e+01 1.306577508424603760e+12 8.335839927667599582e-06
4.814159999999999476e+21 1.425490287889547585e-26 2.000056225098550031e-11 8.307309190880924645e-10 1.448635036729507310e-02 2.246763308472225518e+01 1.367220361909096191e+12 8.335839927667599582e-06
4.888224000000000000e+21 1.425426873208954168e-26 1.999967250148835679e-11 8.548430006439648031e-10 1.448570592426427252e-02 2.246829944286775316e+01 1.429638841278683838e+12 8.335839927667599582e-06
4.962288000000000524e+21 1.425361636851768837e-26 1.999875719267566656e-11 8.792276350245333327e-10 1.448504296869389772e-02 2.246898499465536858e+01 1.493853274712580811e+12 8.335839927667599582e-06
5.036352000000000000e+21 1.425294558711594357e-26 1.999781604244150775e-11 9.038809705975878078e-10 1.448436129625543280e-02 2.246968995578971828e+01 1.559883706115558838e+12 8.335839927667599582e-06
5.110415999999999476e+21 1.425225618975065638e-26 1.999684877279139188e-11 9.287991316668237245e-10 1.448366070559825927e-02 2.247041453908695985e+01 1.627749893155030762e+12 8.335839927667599582e-06
5.184480000000000000e+21 1.425154798134133593e-26 1.999585511001461790e-11 9.539782196809622065e-10 1.448294099847449896e-02 2.247115895434906463e+01 1.697471305674463867e+12 8.335839927667599582e-06
5.258544000000000524e+21 1.425082076989621469e-26 1.999483478473416155e-11 9.794143144411322960e-10 1.448220197977513266e-02 2.247192340832977209e+01 1.769067123880190918e+12 8.335839927667599582e-06
5.332608000000000000e+21 1.425007436651222263e-26 1.999378753190664949e-11 1.005103475305934243e-09 1.448144345753000183e-02 2.247270810473778013e+01 1.842556236954603760e+12 8.335839927667599582e-06
