# z rho(z) P(z) g(z) n(z) K(z)
4.796990338479853568e+18 1.150804988549293564e-26 4.747708461962859296e-11 2.078065762167264243e-11 1.146242941641560133e-02 5.901152053418506384e+08
4.852999386891907072e+18 1.150804988222731849e-26 4.747708460615611492e-11 2.102328992619769990e-11 1.146242941316292889e-02 5.901152054534878731e+08
4.909662389821830144e+18 1.150804987888499861e-26 4.747708459236719505e-11 2.126875517433518991e-11 1.146242940983385923e-02 5.901152055677472353e+08
4.966986982759348224e+18 1.150804987546417230e-26 4.747708457825438874e-11 2.151708644316420236e-11 1.146242940642659344e-02 5.901152056846904755e+08
5.024980890345071616e+18 1.150804987196299854e-26 4.747708456381010919e-11 2.176831719596671326e-11 1.146242940293929966e-02 5.901152058043802977e+08
5.083651927411652608e+18 1.150804986837958895e-26 4.747708454902655633e-11 2.202248128673790657e-11 1.146242939937009570e-02 5.901152059268814325e+08
5.143008000036692992e+18 1.150804986471201071e-26 4.747708453389576211e-11 2.227961296474729010e-11 1.146242939571705602e-02 5.901152060522599220e+08
5.203057106608151552e+18 1.150804986095828933e-26 4.747708451840958395e-11 2.253974687915416301e-11 1.146242939197821518e-02 5.901152061805834770e+08
5.263807338902146048e+18 1.150804985711639870e-26 4.747708450255965311e-11 2.280291808367652043e-11 1.146242938815155571e-02 5.901152063119208813e+08
5.325266883173383168e+18 1.150804985318427109e-26 4.747708448633744577e-11 2.306916204131491719e-11 1.146242938423501501e-02 5.901152064463431835e+08
5.387444021258110976e+18 1.150804984915978566e-26 4.747708446973421835e-11 2.333851462913036960e-11 1.146242938022648365e-02 5.901152065839228630e+08
5.450347131690369024e+18 1.150804984504077138e-26 4.747708445274099466e-11 2.361101214308001138e-11 1.146242937612379845e-02 5.901152067247340679e+08
5.513984690830853120e+18 1.150804984082500984e-26 4.747708443534864986e-11 2.388669130290727875e-11 1.146242937192474935e-02 5.901152068688526154e+08
5.578365274009166848e+18 1.150804983651022667e-26 4.747708441754777478e-11 2.416558925709019538e-11 1.146242936762707082e-02 5.901152070163562298e+08
5.643497556679414784e+18 1.150804983209410016e-26 4.747708439932879867e-11 2.444774358784735632e-11 1.146242936322845046e-02 5.901152071673244238e+08
5.709390315589062656e+18 1.150804982757424546e-26 4.747708438068189877e-11 2.473319231620145924e-11 1.146242935872651345e-02 5.901152073218384981e+08
5.776052429961900032e+18 1.150804982294823036e-26 4.747708436159701319e-11 2.502197390710386919e-11 1.146242935411883636e-02 5.901152074799818993e+08
5.843492882694354944e+18 1.150804981821355522e-26 4.747708434206386035e-11 2.531412727461707651e-11 1.146242934940293161e-02 5.901152076418398619e+08
5.911720761566013440e+18 1.150804981336767590e-26 4.747708432207191953e-11 2.560969178715863404e-11 1.146242934457626129e-02 5.901152078074992895e+08
5.980745260464217088e+18 1.150804980840797222e-26 4.747708430161039216e-11 2.590870727280613144e-11 1.146242933963621986e-02 5.901152079770499468e+08
6.050575680623013888e+18 1.150804980333177521e-26 4.747708428066826639e-11 2.621121402466431457e-11 1.146242933458014625e-02 5.901152081505830288e+08
6.121221431876329472e+18 1.150804979813634990e-26 4.747708425923426542e-11 2.651725280629378779e-11 1.146242932940531693e-02 5.901152083281919956e+08
6.192692033926261760e+18 1.150804979281889244e-26 4.747708423729680226e-11 2.682686485720531246e-11 1.146242932410893901e-02 5.901152085099728107e+08
6.264997117625686016e+18 1.150804978737654014e-26 4.747708421484407667e-11 2.714009189841601457e-11 1.146242931868816060e-02 5.901152086960231066e+08
6.338146426276090880e+18 1.150804978180635713e-26 4.747708419186398467e-11 2.745697613807157311e-11 1.146242931314005870e-02 5.901152088864434958e+08
6.412149816940565504e+18 1.150804977610533867e-26 4.747708416834412500e-11 2.777756027713412395e-11 1.146242930746164089e-02 5.901152090813364983e+08
6.487017261771853824e+18 1.150804977027041545e-26 4.747708414427183147e-11 2.810188751513533978e-11 1.146242930164984887e-02 5.901152092808071375e+08
6.562758849356445696e+18 1.150804976429844210e-26 4.747708411963413414e-11 2.843000155599901906e-11 1.146242929570154973e-02 5.901152094849629402e+08
6.639384786073824256e+18 1.150804975818619864e-26 4.747708409441773996e-11 2.876194661392936800e-11 1.146242928961353595e-02 5.901152096939138174e+08
6.716905397471865856e+18 1.150804975193038903e-26 4.747708406860905215e-11 2.909776741936916634e-11 1.146242928338252545e-02 5.901152099077727795e+08
6.795331129658228736e+18 1.150804974552764264e-26 4.747708404219418313e-11 2.943750922502728060e-11 1.146242927700516154e-02 5.901152101266548634e+08
