# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
3.258816000000000000e+21 1.451485263573824953e-26 2.036528878318516063e-11 3.938383444437039014e-10 1.475052075747660188e-02 2.219857402097889221e+01 4.328721049074653320e+11 2.148504918418746091e-06
3.332880000000000000e+21 1.451454417747518318e-26 2.036485599604205046e-11 4.113925070172156385e-10 1.475020729097946577e-02 2.219888852433721382e+01 4.626892704450108643e+11 2.148504918418746091e-06
3.406944000000000000e+21 1.451422214365544476e-26 2.036440416150390039e-11 4.292924206331393947e-10 1.474988002850826513e-02 2.219921688118882841e+01 4.938193901270207520e+11 2.148504918418746091e-06
3.481008000000000000e+21 1.451388627148954074e-26 2.036393291085985404e-11 4.475350148437241898e-10 1.474953870300676866e-02 2.219955936103461624e+01 5.262879582665534668e+11 2.148504918418746091e-06
3.555072000000000000e+21 1.451353630064213488e-26 2.036344187884237530e-11 4.661171704427208641e-10 1.474918304991274833e-02 2.219991623098082201e+01 5.601202399399122314e+11 2.148504918418746091e-06
3.629136000000000000e+21 1.451317197323206540e-26 2.036293070362731295e-11 4.850357205662818219e-10 1.474881280715798978e-02 2.220028775574284552e+01 5.953412674335177002e+11 2.148504918418746091e-06
3.703200000000000000e+21 1.451279303383232208e-26 2.036239902683383599e-11 5.042874518054748566e-10 1.474842771516828716e-02 2.220067419764907157e+01 6.319758367680170898e+11 2.148504918418746091e-06
3.777264000000000000e+21 1.451239922954048404e-26 2.036184649362330113e-11 5.238691053297629084e-10 1.474802751693500905e-02 2.220107581657290297e+01 6.700485042553068848e+11 2.148504918418746091e-06
3.851328000000000000e+21 1.451199031012953373e-26 2.036127275291080103e-11 5.437773780207996442e-10 1.474761195816836311e-02 2.220149286978276137e+01 7.095835832090468750e+11 2.148504918418746091e-06
3.925392000000000000e+21 1.451156602789945940e-26 2.036067745715700554e-11 5.640089236158891944e-10 1.474718078714659653e-02 2.220192561209726634e+01 7.506051407045946045e+11 2.148504918418746091e-06
3.999456000000000000e+21 1.451112613786703598e-26 2.036006026263440406e-11 5.845603538604566788e-10 1.474673375490885389e-02 2.220237429569549548e+01 7.931369943917746582e+11 2.148504918418746091e-06
4.073520000000000000e+21 1.451067039777743944e-26 2.035942082944361321e-11 6.054282396688802878e-10 1.474627061526697681e-02 2.220283917010898733e+01 8.372027094867532959e+11 2.148504918418746091e-06
4.147584000000000000e+21 1.451019856810424676e-26 2.035875882151337688e-11 6.266091122930234841e-10 1.474579112480550909e-02 2.220332048222550014e+01 8.828255957308854980e+11 2.148504918418746091e-06
4.221648000000000000e+21 1.450971041204943020e-26 2.035807390660055650e-11 6.480994644978265710e-10 1.474529504288169153e-02 2.220381847629285588e+01 9.300287045329422607e+11 2.148504918418746091e-06
4.295712000000000000e+21 1.450920569554336593e-26 2.035736575629014077e-11 6.698957517432949515e-10 1.474478213162546542e-02 2.220433339392269190e+01 9.788348261643063965e+11 2.148504918418746091e-06
4.369776000000000000e+21 1.450868418734849904e-26 2.035663404614070018e-11 6.919943933722437374e-10 1.474425215604482399e-02 2.220486547398851584e+01 1.029266486998749634e+12 2.148504918418746091e-06
4.443840000000000000e+21 1.450814565912740806e-26 2.035587845577986820e-11 7.143917738031440982e-10 1.474370488409497588e-02 2.220541495255995912e+01 1.081345946957208740e+12 2.148504918418746091e-06
4.517904000000000000e+21 1.450758988533845680e-26 2.035509866875796910e-11 7.370842437274327662e-10 1.474314008657231882e-02 2.220598206301297139e+01 1.135095196864407471e+12 2.148504918418746091e-06
4.591968000000000000e+21 1.450701664339931038e-26 2.035429437277740871e-11 7.600681213106383601e-10 1.474255753728059490e-02 2.220656703586666225e+01 1.190535956109430664e+12 2.148504918418746091e-06
4.666032000000000000e+21 1.450642571368921673e-26 2.035346525969588943e-11 7.833396933966893553e-10 1.474195701303321164e-02 2.220717009878460502e+01 1.247689670164739990e+12 2.148504918418746091e-06
4.740096000000000000e+21 1.450581687954899227e-26 2.035261102552638761e-11 8.068952167147700804e-10 1.474133829365323681e-02 2.220779147657845698e+01 1.306577508424295654e+12 2.148504918418746091e-06
