# z rho(z) P(z) g(z) n(z) K(z)
1.865571025055873843e+19 5.511234821980567040e-27 7.578966161523184487e-13 2.693896406236603357e-12 5.489387061475893038e-03 3.213542863705895096e+07
1.887353194809350144e+19 5.511234798297227883e-27 7.578966128954216104e-13 2.725349982077778464e-12 5.489387037886439731e-03 3.213542872912231833e+07
1.909389690403422618e+19 5.511234774057549289e-27 7.578966095620179365e-13 2.757170805312913736e-12 5.489387013742852428e-03 3.213542882334832847e+07
1.931683481314240102e+19 5.511234749248461921e-27 7.578966061503100864e-13 2.789363163856259902e-12 5.489386989032113764e-03 3.213542891978777945e+07
1.954237571689160294e+19 5.511234723856590800e-27 7.578966026584587141e-13 2.821931395686487641e-12 5.489386963740901931e-03 3.213542901849265769e+07
1.977055000751583642e+19 5.511234697868248848e-27 7.578965990845815596e-13 2.854879889431238513e-12 5.489386937855583737e-03 3.213542911951618269e+07
2.000138843210494771e+19 5.511234671269423978e-27 7.578965954267516314e-13 2.888213084958463369e-12 5.489386911362202463e-03 3.213542922291281074e+07
2.023492209674806886e+19 5.511234644045777656e-27 7.578965916829971054e-13 2.921935473974703755e-12 5.489386884246476132e-03 3.213542932873829082e+07
2.047118247072456704e+19 5.511234616182632704e-27 7.578965878513000123e-13 2.956051600630223401e-12 5.489386856493787097e-03 3.213542943704967201e+07
2.071020139074560000e+19 5.511234587664967562e-27 7.578965839295941171e-13 2.990566062131452665e-12 5.489386828089172499e-03 3.213542954790534079e+07
2.095201106524355789e+19 5.511234558477408393e-27 7.578965799157654240e-13 3.025483509360336785e-12 5.489386799017319067e-03 3.213542966136506572e+07
2.119664407871236915e+19 5.511234528604220476e-27 7.578965758076501570e-13 3.060808647501043939e-12 5.489386769262555310e-03 3.213542977749001607e+07
2.144413339609855590e+19 5.511234498029298879e-27 7.578965716030335481e-13 3.096546236673981012e-12 5.489386738808839372e-03 3.213542989634278417e+07
2.169451236724262502e+19 5.511234466736160565e-27 7.578965672996488276e-13 3.132701092577085554e-12 5.489386707639753830e-03 3.213543001798745990e+07
2.194781473137410048e+19 5.511234434707935784e-27 7.578965628951761132e-13 3.169278087134868935e-12 5.489386675738496153e-03 3.213543014248960465e+07
2.220407462165728051e+19 5.511234401927357311e-27 7.578965583872408959e-13 3.206282149154767195e-12 5.489386643087867425e-03 3.213543026991634816e+07
2.246332656979093914e+19 5.511234368376753268e-27 7.578965537734130297e-13 3.243718264991288314e-12 5.489386609670265406e-03 3.213543040033638850e+07
2.272560551066176717e+19 5.511234334038038522e-27 7.578965490512052171e-13 3.281591479217920765e-12 5.489386575467676728e-03 3.213543053382002190e+07
2.299094678705117184e+19 5.511234298892698892e-27 7.578965442180716968e-13 3.319906895306735900e-12 5.489386540461661280e-03 3.213543067043922096e+07
2.325938615439894118e+19 5.511234262921789003e-27 7.578965392714069306e-13 3.358669676316203974e-12 5.489386504633347874e-03 3.213543081026762724e+07
2.353095978562063974e+19 5.511234226105915780e-27 7.578965342085441900e-13 3.397885045586776705e-12 5.489386467963421230e-03 3.213543095338063315e+07
2.380570427598218854e+19 5.511234188425234148e-27 7.578965290267542435e-13 3.437558287444701650e-12 5.489386430432114175e-03 3.213543109985538200e+07
2.408365664803117056e+19 5.511234149859430523e-27 7.578965237232436398e-13 3.477694747914051851e-12 5.489386392019193761e-03 3.213543124977083132e+07
