# z rho(z) P(z) g(z) n(z) K(z) phi(z)
4.517904000000000000e+21 5.623131870753669028e-25 2.337665853963385627e-09 4.912922300754678994e-09 5.643882436439510153e-01 4.392744553194813430e+07 1.111786823475347266e+13
4.591968000000000000e+21 5.622635710806096790e-25 2.337459588808272563e-09 4.992873912547185021e-09 5.643384445555047479e-01 4.393002969587187469e+07 1.148469985503949023e+13
4.666032000000000000e+21 5.622131587924562477e-25 2.337250013277509423e-09 5.072796959223681690e-09 5.642878462351683666e-01 4.393265572265643626e+07 1.185745195642300000e+13
4.740096000000000000e+21 5.621619507141814745e-25 2.337037129463326317e-09 5.152690989907029018e-09 5.642364491880740296e-01 4.393532360476975888e+07 1.223612240659029102e+13
4.814159999999999476e+21 5.621099473568869053e-25 2.336820939490490503e-09 5.232555554188874262e-09 5.641842539272092782e-01 4.393803333455857635e+07 1.262070903985565234e+13
4.888224000000000000e+21 5.620571492394997559e-25 2.336601445516302669e-09 5.312390202136796281e-09 5.641312609734163708e-01 4.394078490424791723e+07 1.301120965716138086e+13
4.962288000000000524e+21 5.620035568887737386e-25 2.336378649730599408e-09 5.392194484301399435e-09 5.640774708553928374e-01 4.394357830594041944e+07 1.340762202609362500e+13
5.036352000000000000e+21 5.619491708392885111e-25 2.336152554355751570e-09 5.471967951723411620e-09 5.640228841096909251e-01 4.394641353161583096e+07 1.380994388104265039e+13
5.110415999999999476e+21 5.618939916334078915e-25 2.335923161646490962e-09 5.551710155940761630e-09 5.639675012806759646e-01 4.394929057313250005e+07 1.421817292307765234e+13
5.184480000000000000e+21 5.618380198205240521e-25 2.335690473886768723e-09 5.631420648995651547e-09 5.639113229197675325e-01 4.395220942226620018e+07 1.463230682011155469e+13
5.258544000000000524e+21 5.617812559582162078e-25 2.335454493394569921e-09 5.711098983441593570e-09 5.638543495866025212e-01 4.395517007064909488e+07 1.505234320694905859e+13
5.332608000000000000e+21 5.617237006119767628e-25 2.335215222520776599e-09 5.790744712350432774e-09 5.637965818487599146e-01 4.395817250978337228e+07 1.547827968528665430e+13
5.406671999999999476e+21 5.616653543548906207e-25 2.334972663647835185e-09 5.870357389319393039e-09 5.637380202814394892e-01 4.396121673105731606e+07 1.591011382371263086e+13
5.480736000000000000e+21 5.616062177676347259e-25 2.334726819189755250e-09 5.949936568478048526e-09 5.636786654674611485e-01 4.396430272574467212e+07 1.634784315770842969e+13
5.554800000000000524e+21 5.615462914384789813e-25 2.334477691592109096e-09 6.029481804495313351e-09 5.636185179972654780e-01 4.396743048500396311e+07 1.679146518981454492e+13
5.628864000000000000e+21 5.614855759632850551e-25 2.334225283332032170e-09 6.108992652586413069e-09 5.635575784689130785e-01 4.397059999987787008e+07 1.724097738955608008e+13
5.702927999999999476e+21 5.614240719455074821e-25 2.333969596918224304e-09 6.188468668519828849e-09 5.634958474880853441e-01 4.397381126129248738e+07 1.769637719352570703e+13
5.776992000000000000e+21 5.613617799961928379e-25 2.333710634890947232e-09 6.267909408624240834e-09 5.634333256680837954e-01 4.397706426005671173e+07 1.815766200550524609e+13
5.851056000000000524e+21 5.612987007339804732e-25 2.333448399822027902e-09 6.347314429795416893e-09 5.633700136298305239e-01 4.398035898686146736e+07 1.862482919646564453e+13
5.925120000000000000e+21 5.612348347851015952e-25 2.333182894314853510e-09 6.426683289503137788e-09 5.633059120018678589e-01 4.398369543227910250e+07 1.909787610456700000e+13
5.999183999999999476e+21 5.611701827833804621e-25 2.332914121004378532e-09 6.506015545798061936e-09 5.632410214203589227e-01 4.398707358676255494e+07 1.957680003515856641e+13
6.073248000000000000e+21 5.611047453702330970e-25 2.332642082557117694e-09 6.585310757318591013e-09 5.631753425290867421e-01 4.399049344064474106e+07 2.006159826085060156e+13
6.147312000000000524e+21 5.610385231946682061e-25 2.332366781671150105e-09 6.664568483297710737e-09 5.631088759794550258e-01 4.399395498413777351e+07 2.055226802166930469e+13
6.221376000000000000e+21 5.609715169132869955e-25 2.332088221076118022e-09 6.743788283569822552e-09 5.630416224304878314e-01 4.399745820733220130e+07 2.104880652489597656e+13
6.295439999999999476e+21 5.609037271902827117e-25 2.331806403533227256e-09 6.822969718577536438e-09 5.629735825488295653e-01 4.400100310019631684e+07 2.155121094531600391e+13
6.369504000000000000e+21 5.608351546974381619e-25 2.331521331835233530e-09 6.902112349378476946e-09 5.629047570087419849e-01 4.400458965257550776e+07 2.205947842523579688e+13
